LATITUDE,LONGITUDE,YEAR,OND_SUM
9.25,77.0,1958,511.34755340218544
9.25,77.0,1959,220.66995018720627
9.25,77.0,1960,427.04120586812496
9.25,77.0,1961,270.31718660891056
9.25,77.0,1962,318.57422947883606
9.25,77.0,1963,540.9825302809477
9.25,77.0,1964,356.0205036997795
9.25,77.0,1965,516.4113357067108
9.25,77.0,1966,640.6529658138752
9.25,77.0,1967,353.63224117457867
9.25,77.0,1968,483.5437779724598
9.25,77.0,1969,326.27442482858896
9.25,77.0,1970,398.0367211997509
9.25,77.0,1971,468.88213577866554
9.25,77.0,1972,627.2904610335827
9.25,77.0,1973,723.957541435957
9.25,77.0,1974,262.0908679366112
9.25,77.0,1975,203.5686571970582
9.25,77.0,1976,520.504788979888
9.25,77.0,1977,798.6151801943779
9.25,77.0,1978,601.1855058670044
9.25,77.0,1979,678.641865670681
9.25,77.0,1980,421.3138165175915
9.25,77.0,1981,328.99399591982365
9.25,77.0,1982,494.49755322933197
9.25,77.0,1983,494.10787619650364
9.25,77.0,1984,258.3216210603714
9.25,77.0,1985,395.3470416665077
9.25,77.0,1986,249.1947031468153
9.25,77.0,1987,663.6907813996077
9.25,77.0,1988,242.41244813799858
9.25,77.0,1989,293.41680543124676
9.25,77.0,1990,570.8582637310028
9.25,77.0,1991,403.30344723910093
9.25,77.0,1992,767.269332870841
9.25,77.0,1993,594.2910240590572
9.25,77.0,1994,334.88460355997086
9.25,77.0,1995,361.54213842749596
9.25,77.0,1996,428.78337812423706
9.25,77.0,1997,650.5042737424374
9.25,77.0,1998,453.80154699087143
9.25,77.0,1999,587.9323950409889
9.25,77.0,2000,360.14784318208694
9.25,77.0,2001,215.225190654397
9.25,77.0,2002,265.9055777937174
9.25,77.0,2003,228.37094055116177
9.25,77.0,2004,473.9636455774307
9.25,77.0,2005,587.029735699296
9.25,77.0,2006,975.7055715918541
9.25,77.0,2007,665.0258791893721
9.25,77.0,2008,475.7508307546377
9.25,77.0,2009,731.7908432483673
9.25,77.0,2010,695.7584934234619
9.25,77.0,2011,536.2812250554562
9.25,77.0,2012,345.3005513995886
9.25,77.0,2013,514.2443249225616
9.25,77.0,2014,549.1425239890814
9.25,77.0,2015,908.7313969731331
9.25,77.0,2016,290.68992072343826
9.25,77.0,2017,745.835707321763
9.25,77.0,2018,462.04146242141724
9.25,77.0,2019,542.8414442241192
9.25,77.0,2020,489.28283454477787
9.25,77.0,2021,1067.9963466525078
9.25,77.0,2022,544.4098041653633
9.25,77.0,2023,975.285994566977
9.25,77.25,1901,283.95930793881416
9.25,77.25,1902,860.110224455595
9.25,77.25,1903,370.0125263631344
9.25,77.25,1904,275.2718884497881
9.25,77.25,1905,352.7268733084202
9.25,77.25,1906,484.72475907206535
9.25,77.25,1907,688.6367133259773
9.25,77.25,1908,343.1415710449219
9.25,77.25,1909,397.65504739433527
9.25,77.25,1910,445.2905249595642
9.25,77.25,1911,609.2501761838794
9.25,77.25,1912,545.845600605011
9.25,77.25,1913,545.7359819561243
9.25,77.25,1914,968.8536776006222
9.25,77.25,1915,477.4227281883359
9.25,77.25,1916,269.74293057620525
9.25,77.25,1917,567.1420694887638
9.25,77.25,1918,613.9268093332648
9.25,77.25,1919,674.2301418930292
9.25,77.25,1920,624.6105297133327
9.25,77.25,1921,579.2151811793447
9.25,77.25,1922,902.0696491748095
9.25,77.25,1923,674.2916597053409
9.25,77.25,1924,546.3434984087944
9.25,77.25,1925,921.3039845302701
9.25,77.25,1926,294.6608973145485
9.25,77.25,1927,462.78868433088064
9.25,77.25,1928,518.6917225271463
9.25,77.25,1929,872.6971702426672
9.25,77.25,1930,505.9027688652277
9.25,77.25,1931,872.7109650820494
9.25,77.25,1932,427.6806800663471
9.25,77.25,1933,711.2268443703651
9.25,77.25,1934,375.58659337460995
9.25,77.25,1935,538.8103384375572
9.25,77.25,1936,568.7106809318066
9.25,77.25,1937,417.86114750802517
9.25,77.25,1938,136.86405742913485
9.25,77.25,1939,491.6047213152051
9.25,77.25,1940,590.9562566429377
9.25,77.25,1941,401.4199416786432
9.25,77.25,1942,768.5980320572853
9.25,77.25,1943,537.7055492848158
9.25,77.25,1944,806.0630683451891
9.25,77.25,1945,647.9661527872086
9.25,77.25,1946,539.8525817543268
9.25,77.25,1947,355.63596469163895
9.25,77.25,1948,568.7876925617456
9.25,77.25,1949,222.10570987313986
9.25,77.25,1950,388.88565097749233
9.25,77.25,1951,526.1775516867638
9.25,77.25,1952,299.7535895258188
9.25,77.25,1953,334.1787560135126
9.25,77.25,1954,506.0022596940398
9.25,77.25,1955,286.0927013903856
9.25,77.25,1956,459.87342070788145
9.25,77.25,1957,505.2200996950269
9.25,77.25,1958,472.76236233115196
9.25,77.25,1959,154.4449580386281
9.25,77.25,1960,349.9114069417119
9.25,77.25,1961,133.3601859509945
9.25,77.25,1962,281.0371874421835
9.25,77.25,1963,646.6833348274231
9.25,77.25,1964,376.281940728426
9.25,77.25,1965,410.1617408320308
9.25,77.25,1966,545.883510991931
9.25,77.25,1967,323.8460155725479
9.25,77.25,1968,401.79348061978817
9.25,77.25,1969,451.47858261317015
9.25,77.25,1970,276.90720791369677
9.25,77.25,1971,531.4860142171383
9.25,77.25,1972,564.1412139832973
9.25,77.25,1973,621.8006642088294
9.25,77.25,1974,383.65274338424206
9.25,77.25,1975,68.56803326308727
9.25,77.25,1976,474.8393396809697
9.25,77.25,1977,685.511952996254
9.25,77.25,1978,470.88384987413883
9.25,77.25,1979,741.9026571363211
9.25,77.25,1980,521.1597954332829
9.25,77.25,1981,313.73743741214275
9.25,77.25,1982,444.50518879294395
9.25,77.25,1983,537.8567136079073
9.25,77.25,1984,377.7102720439434
9.25,77.25,1985,520.0575505793095
9.25,77.25,1986,262.01963475346565
9.25,77.25,1987,667.3184223175049
9.25,77.25,1988,209.70776052773
9.25,77.25,1989,169.0141539722681
9.25,77.25,1990,456.51713182777166
9.25,77.25,1991,273.429373010993
9.25,77.25,1992,633.5403741598129
9.25,77.25,1993,656.2427956312895
9.25,77.25,1994,575.7545208856463
9.25,77.25,1995,372.61458115279675
9.25,77.25,1996,479.27137260884047
9.25,77.25,1997,1038.2455585077405
9.25,77.25,1998,681.3782828599215
9.25,77.25,1999,323.3426977470517
